discipline_name,discipline_url,lab_name,lab_url,pic,experiment_name,experiment_url
Electronics & Communications,https://www.vlab.co.in/broad-area-electronics-and-communications,Basic Electronics Lab,https://be-iitkgp.vlabs.ac.in/,IIT Kharagpur,Ohm's Law,https://be-iitkgp.vlabs.ac.in/exp/ohm-law/
Electronics & Communications,https://www.vlab.co.in/broad-area-electronics-and-communications,Basic Electronics Lab,https://be-iitkgp.vlabs.ac.in/,IIT Kharagpur,VI Characteristics of a Diode,https://be-iitkgp.vlabs.ac.in/exp/characteristics-diode/
Electronics & Communications,https://www.vlab.co.in/broad-area-electronics-and-communications,Basic Electronics Lab,https://be-iitkgp.vlabs.ac.in/,IIT Kharagpur,Half Wave Rectification,https://be-iitkgp.vlabs.ac.in/exp/half-wave-rectification/
Electronics & Communications,https://www.vlab.co.in/broad-area-electronics-and-communications,Basic Electronics Lab,https://be-iitkgp.vlabs.ac.in/,IIT Kharagpur,Full Wave Rectification,https://be-iitkgp.vlabs.ac.in/exp/full-wave-rectification/
Electronics & Communications,https://www.vlab.co.in/broad-area-electronics-and-communications,Basic Electronics Lab,https://be-iitkgp.vlabs.ac.in/,IIT Kharagpur,Capacitative Rectification,https://be-iitkgp.vlabs.ac.in/exp/capacitative-rectification/
Electronics & Communications,https://www.vlab.co.in/broad-area-electronics-and-communications,Basic Electronics Lab,https://be-iitkgp.vlabs.ac.in/,IIT Kharagpur,Zener Diode-Voltage Regulator,https://be-iitkgp.vlabs.ac.in/exp/voltage-regulator/
Electronics & Communications,https://www.vlab.co.in/broad-area-electronics-and-communications,Basic Electronics Lab,https://be-iitkgp.vlabs.ac.in/,IIT Kharagpur,BJT Common Emitter Characteristics,https://be-iitkgp.vlabs.ac.in/exp/common-emitter-characteristics/
Electronics & Communications,https://www.vlab.co.in/broad-area-electronics-and-communications,Basic Electronics Lab,https://be-iitkgp.vlabs.ac.in/,IIT Kharagpur,BJT Common Base Characteristics,https://be-iitkgp.vlabs.ac.in/exp/common-base-characteristics/
Electronics & Communications,https://www.vlab.co.in/broad-area-electronics-and-communications,Basic Electronics Lab,https://be-iitkgp.vlabs.ac.in/,IIT Kharagpur,Studies on BJT CE Amplifier,https://be-iitkgp.vlabs.ac.in/exp/ce-amplifier/
Electronics & Communications,https://www.vlab.co.in/broad-area-electronics-and-communications,Basic Electronics Lab,https://be-iitkgp.vlabs.ac.in/,IIT Kharagpur,RC Frequency Response,https://be-iitkgp.vlabs.ac.in/exp/frequency-response/
